TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency
2026-02-03 03:02:29,1770087749242,tradingpro-backend-nestjs.vercel.app/trading/status,GET,,200,45q25-1770087749242-b0214c6b6440,okhttp/4.12.0,,production,main,MISS,function,/api/index.ts,tradingpro-backend-nestjs.vercel.app,tradingpro-backend-nestjs-6xbx0v5at-alvin-aleguiojos-projects.vercel.app,dpl_EmdpnwamLp8ttvUsPYCXjgWU2gaC,2,iad1,317,2048,,prj_AzeOemgmLKRCQdwIAdw0MNabu7MN,,,01KGGQ66AETTRBPZ4N4GFW9NQE,bN5sJUAEvmOP,3
2026-02-03 03:02:32,1770087752070,tradingpro-backend-nestjs.vercel.app/money-management/status,GET,,200,s8fbk-1770087749229-f572f5675a10,okhttp/4.12.0,error,production,main,MISS,function,/api/index.ts,tradingpro-backend-nestjs.vercel.app,tradingpro-backend-nestjs.vercel.app,dpl_EmdpnwamLp8ttvUsPYCXjgWU2gaC,,,,,"[31m[Nest] 4  - [39m02/03/2026, 3:02:32 AM [31m  ERROR[39m [38;5;3m[Mt5Service] [39m[31mFailed to connect to MT5: timeout of 30000ms exceeded[39m",prj_AzeOemgmLKRCQdwIAdw0MNabu7MN,,,,,
2026-02-03 03:02:32,1770087752070,tradingpro-backend-nestjs.vercel.app/money-management/status,GET,,200,s8fbk-1770087749229-f572f5675a10,okhttp/4.12.0,error,production,main,MISS,function,/api/index.ts,tradingpro-backend-nestjs.vercel.app,tradingpro-backend-nestjs.vercel.app,dpl_EmdpnwamLp8ttvUsPYCXjgWU2gaC,,,,,"[31m[Nest] 4  - [39m02/03/2026, 3:02:32 AM [31m  ERROR[39m [38;5;3m[Mt5Service] [39m[31mObject:[39m",prj_AzeOemgmLKRCQdwIAdw0MNabu7MN,,,,,
2026-02-03 03:02:32,1770087752070,tradingpro-backend-nestjs.vercel.app/money-management/status,GET,,200,s8fbk-1770087749229-f572f5675a10,okhttp/4.12.0,error,production,main,MISS,function,/api/index.ts,tradingpro-backend-nestjs.vercel.app,tradingpro-backend-nestjs.vercel.app,dpl_EmdpnwamLp8ttvUsPYCXjgWU2gaC,,,,,{,prj_AzeOemgmLKRCQdwIAdw0MNabu7MN,,,,,
2026-02-03 03:02:32,1770087752070,tradingpro-backend-nestjs.vercel.app/money-management/status,GET,,200,s8fbk-1770087749229-f572f5675a10,okhttp/4.12.0,error,production,main,MISS,function,/api/index.ts,tradingpro-backend-nestjs.vercel.app,tradingpro-backend-nestjs.vercel.app,dpl_EmdpnwamLp8ttvUsPYCXjgWU2gaC,,,,,"""error"": ""timeout of 30000ms exceeded""",prj_AzeOemgmLKRCQdwIAdw0MNabu7MN,,,,,
2026-02-03 03:02:32,1770087752070,tradingpro-backend-nestjs.vercel.app/money-management/status,GET,,200,s8fbk-1770087749229-f572f5675a10,okhttp/4.12.0,error,production,main,MISS,function,/api/index.ts,tradingpro-backend-nestjs.vercel.app,tradingpro-backend-nestjs.vercel.app,dpl_EmdpnwamLp8ttvUsPYCXjgWU2gaC,,,,,},prj_AzeOemgmLKRCQdwIAdw0MNabu7MN,,,,,
2026-02-03 03:02:32,1770087752070,tradingpro-backend-nestjs.vercel.app/money-management/status,GET,,200,s8fbk-1770087749229-f572f5675a10,okhttp/4.12.0,error,production,main,MISS,function,/api/index.ts,tradingpro-backend-nestjs.vercel.app,tradingpro-backend-nestjs.vercel.app,dpl_EmdpnwamLp8ttvUsPYCXjgWU2gaC,,,,,"[31m[Nest] 4  - [39m02/03/2026, 3:02:32 AM [31m  ERROR[39m [38;5;3m[AutoTradingService] [39m[31mTrade sync failed[39m",prj_AzeOemgmLKRCQdwIAdw0MNabu7MN,,,,,
2026-02-03 03:02:32,1770087752071,tradingpro-backend-nestjs.vercel.app/money-management/status,GET,,200,s8fbk-1770087749229-f572f5675a10,okhttp/4.12.0,error,production,main,MISS,function,/api/index.ts,tradingpro-backend-nestjs.vercel.app,tradingpro-backend-nestjs.vercel.app,dpl_EmdpnwamLp8ttvUsPYCXjgWU2gaC,,,,,"[31m[Nest] 4  - [39m02/03/2026, 3:02:32 AM [31m  ERROR[39m [38;5;3m[AutoTradingService] [39m[31mAxiosError: timeout of 30000ms exceeded[39m",prj_AzeOemgmLKRCQdwIAdw0MNabu7MN,,,,,
2026-02-03 03:02:29,1770087749229,tradingpro-backend-nestjs.vercel.app/money-management/status,GET,,200,s8fbk-1770087749229-f572f5675a10,okhttp/4.12.0,,production,main,MISS,function,/api/index.ts,tradingpro-backend-nestjs.vercel.app,tradingpro-backend-nestjs.vercel.app,dpl_EmdpnwamLp8ttvUsPYCXjgWU2gaC,3835,iad1,317,2048,,prj_AzeOemgmLKRCQdwIAdw0MNabu7MN,,,01KGGQ66AETTRBPZ4N4GFW9NQE,bN5sJUAEvmOP,4
2026-02-03 03:02:33,1770087753002,tradingpro-backend-nestjs.vercel.app/mt5/status,GET,,200,jxvzf-1770087747328-23117a51786f,okhttp/4.12.0,error,production,main,MISS,function,/api/index.ts,tradingpro-backend-nestjs.vercel.app,tradingpro-backend-nestjs.vercel.app,dpl_EmdpnwamLp8ttvUsPYCXjgWU2gaC,,,,,"[31m[Nest] 4  - [39m02/03/2026, 3:02:33 AM [31m  ERROR[39m [38;5;3m[Mt5Service] [39m[31mFailed to connect to MT5: timeout of 30000ms exceeded[39m",prj_AzeOemgmLKRCQdwIAdw0MNabu7MN,,,,,
